depa_nombre;muni_nombre;habi_codigo_habilitacion;nombre_prestador;codigo_habilitacion;numero_sede;sede_nombre;nits_nit;dv;clase_persona;naju_codigo;naju_nombre;clpr_codigo;clpr_nombre;ese;nivel;caracter;habilitado;grupo_capacidad;coca_codigo;coca_nombre;cantidad;numero_sede_principal;numero_placa;modalidad;modelo;numero_tarjeta;fecha_corte_REPS;gerente;direccion;email;telefono
Antioquia;APARTADÓ;0504513197;Promotora Clinica Zona Franca de Uraba SAS;0504513197;01;Promotora Clinica Zona Franca de Uraba ;900390423;9;JURIDICO;1;Privada;1;Instituciones - IPS;  ; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;10;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;Gustavo Alberto Escobar Ramirez;KR 100 # 43-770 LT C101;info@clinpanamericana.com;0548293198;
Antioquia;APARTADÓ;0561507672;SERVIUCIS S.A.S.;0504507672;02;UCI SANTA MARIA DEL DARIEN;811042050;0;JURIDICO;1;Privada;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;5;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;JUAN EDGAR MARIN RESTREPO;Carrera 98 Número 103B-46/52/62;info@serviucis.com;5748288250;
Antioquia;BELLO;0508810819;ESPECIALIDADES MEDICAS METROPOLITANAS S.A;0508810819;01;ESPECIALIDADES MEDICAS METROPOLITANAS S.A;900226451;4;JURIDICO;1;Privada;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;8;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;Liliana María Villegas Romero;Avenida 34 N° 51-03;contactenos@emmsa.com.co;5744828294;
Antioquia;BELLO;0508811823;Fundación Clinica del Norte;0508811823;01;Fundación Clinica del Norte;900421895;6;JURIDICO;1;Privada;1;Instituciones - IPS;  ; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;17;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;SANTIAGO CORREA POSADA;Av 38 Dg 59 50;calidad@clinicadelnorte.org;448 12 70;
Antioquia;CAUCASIA;0515403817;CLINICA PAJONAL S.A.S;0515403817;01;CLINICA PAJONAL LIMITADA;811002429;7;JURIDICO;1;Privada;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;10;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;SALVADOR JOSÉ BERROCAL NARVAEZ;DIAGONAL 2OC N° 12-68;;;
Antioquia;ENVIGADO;0526604910;E.S.E. HOSPITAL MANUEL URIBE ANGEL;0526604910;01;E.S.E. HOSPITAL MANUEL URIBE ANGEL;890906347;9;JURIDICO;4;Pública;1;Instituciones - IPS;SI;3;MUNICIPAL;SI;CAMAS;9;Cuidado Intensivo Adulto;14;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;MARTHA LUCIA VELEZ ARANGO;DG 31 # 36 A SUR - 80   ;autorizaciones@hospitalmua.com.co;2703511;
Antioquia;ENVIGADO;0526610461;CENTRO ONCOLOGICO DE ANTIOQUIA SA;0526610461;03;Centro Oncológico de Antioquia S.A.;900236850;2;JURIDICO;1;Privada;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;4;03;;;0;;Fecha corte REPS: May 22 2020  2:16PM;Vadin Angel Ramirez Agudelo;Carrera 48 # 46 A Sur 107;centrooncologico@coa.com.co;3221024 ;
Antioquia;ITAGUI;0536002107;CLINICA ANTIOQUIA S.A.;0536002107;01;CLINICA ANTIOQUIA S.A.;800190884;1;JURIDICO;1;Privada;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;12;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;JOHANA GIRALDO MEJIA;CALLE 45 N° 49-02;gerencia@clinicantioquia.com.co;3222211;
Antioquia;ITAGUI;0536004339;ESE HOSPITAL SAN RAFAEL-ITAGUI;0536004339;01;E.S.E. HOSPITAL SAN RAFAEL DE ITAGUÍ;890980066;9;JURIDICO;4;Pública;1;Instituciones - IPS;SI;2;DEPARTAMENTAL;SI;CAMAS;9;Cuidado Intensivo Adulto;9;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;DIEGO LEÓN MUÑOZ ZAPATA;KR 51A # 45-51  ;gerencia@hsanrafael.org;4482224 ;
Antioquia;LA CEJA;0537602125;CLINICA SAN JUAN DE DIOS LA CEJA;0537602125;01;CLINICA SAN JUAN DE DIOS LA CEJA;890905154;1;JURIDICO;1;Privada;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;19;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;SERGIO ALEJANDRO GALLO BOTERO;AVENIDA SAN JUAN DE DIOS LA CEJA;;;
