fecha,infectados,recuperados,fallecidos,leve,moderado,grave
2020-04-19,0,0,0,0,0,0
2020-04-20,883,196,8,826,41,8
2020-04-21,930,194,8,873,41,8
2020-04-22,980,204,9,917,44,10
2020-04-23,1028,221,9,982,29,8
2020-04-24,1095,240,9,1045,33,8
2020-04-25,1152,250,9,1099,36,8
2020-04-26,1213,261,9,1158,38,8
2020-04-27,1261,273,10,1203,41,7
2020-04-28,1333,291,12,1266,49,6
2020-04-29,1374,321,12,1299,56,7
2020-04-30,1431,328,12,1353,59,7
2020-05-01,1551,356,12,1465,67,7
2020-05-03,1709,398,12,1382,72,9
2020-05-04,1754,424,12,1660,73,9
2020-05-05,1882,488,12,1784,76,10
