fecha,infectados,recuperados,fallecidos,leve,moderado,grave
2020-04-19,0,0,0,0,0,0
2020-04-20,388,67,6,371,11,0
2020-04-21,408,63,6,389,12,1
2020-04-22,426,68,6,402,13,5
2020-04-23,435,79,6,419,8,2
2020-04-24,472,90,6,453,11,2
2020-04-25,487,93,6,467,12,2
2020-04-26,509,96,6,488,13,2
2020-04-27,533,97,6,512,14,1
2020-04-28,544,103,7,520,16,1
2020-04-29,561,118,7,533,19,2
2020-04-30,579,120,7,550,20,2
2020-05-01,601,130,7,570,22,2
2020-05-03,643,145,7,569,23,2
2020-05-04,665,153,7,631,25,2
2020-05-05,705,190,7,669,27,2
