fecha,infectados,recuperados,fallecidos,leve,moderado,grave
2020-04-19,0,0,0,0,0,0
2020-04-20,194,31,1,187,4,2
2020-04-21,207,32,1,200,4,2
2020-04-22,218,36,1,211,4,2
2020-04-23,231,37,1,226,2,2
2020-04-24,249,42,1,243,2,3
2020-04-25,271,43,1,264,3,3
2020-04-26,283,46,1,276,3,3
2020-04-27,304,49,1,298,2,3
2020-04-28,324,52,1,317,3,3
2020-04-29,349,59,1,341,4,3
2020-04-30,376,59,1,367,5,3
2020-05-01,406,68,1,395,6,3
2020-05-03,454,81,1,377,5,3
2020-05-04,488,86,1,478,5,3
2020-05-05,534,102,1,520,9,3
