fecha,infectados,recuperados,fallecidos,leve,moderado,grave
2020-04-19,0,0,0,0,0,0
2020-04-20,103,14,22,55,18,8
2020-04-21,108,13,22,58,20,8
2020-04-22,110,13,24,60,17,9
2020-04-23,111,14,24,67,9,11
2020-04-24,124,16,24,71,18,11
2020-04-25,128,16,25,72,20,11
2020-04-26,133,16,26,75,21,11
2020-04-27,137,16,27,77,22,11
2020-04-28,140,16,27,78,24,11
2020-04-29,155,17,30,87,27,11
2020-04-30,159,17,30,90,28,11
2020-05-01,165,19,32,94,28,11
2020-05-03,171,22,35,92,29,10
2020-05-04,181,22,35,106,30,10
2020-05-05,187,27,37,109,31,10
