fecha,infectados,recuperados,fallecidos,leve,moderado,grave
2020-04-19,0,0,0,0,0,0
2020-04-20,240,39,54,123,47,17
2020-04-21,250,37,55,129,48,18
2020-04-22,253,38,58,135,43,17
2020-04-23,261,39,60,151,27,23
2020-04-24,278,41,61,154,41,22
2020-04-25,291,43,63,160,45,23
2020-04-26,298,45,67,164,45,22
2020-04-27,305,48,72,167,44,22
2020-04-28,323,49,75,177,49,22
2020-04-29,343,57,79,187,56,21
2020-04-30,359,57,81,196,61,21
2020-05-01,376,61,89,203,62,22
2020-05-03,410,69,100,204,69,20
2020-05-04,428,70,104,235,69,20
2020-05-05,453,76,107,248,76,22
