fecha,infectados,recuperados,fallecidos,leve,moderado,grave
2020-04-19,0,0,0,0,0,0
2020-04-20,90,13,24,50,13,3
2020-04-21,92,11,25,51,13,3
2020-04-22,95,13,26,50,17,2
2020-04-23,100,13,26,56,15,3
2020-04-24,103,13,28,57,15,3
2020-04-25,110,16,31,60,17,2
2020-04-26,114,19,33,61,18,2
2020-04-27,117,20,34,63,18,2
2020-04-28,127,20,38,67,19,3
2020-04-29,135,22,38,72,21,4
2020-04-30,144,23,39,77,22,6
2020-05-01,149,23,41,80,22,6
2020-05-03,170,24,45,82,25,9
2020-05-04,174,24,47,91,27,9
2020-05-05,186,26,54,92,30,10
