fecha,infectados,recuperados,fallecidos,leve,moderado,grave
2020-04-19,0,0,0,0,0,0
2020-04-20,60,2,9,25,20,6
2020-04-21,62,2,12,25,19,6
2020-04-22,64,2,14,27,17,6
2020-04-23,70,2,15,32,9,14
2020-04-24,72,2,15,33,10,14
2020-04-25,72,4,16,33,10,13
2020-04-26,74,5,15,35,11,13
2020-04-27,74,5,15,35,11,13
2020-04-28,76,5,15,35,14,12
2020-04-29,78,6,15,36,14,13
2020-04-30,82,6,17,38,13,14
2020-05-01,86,8,17,42,13,14
2020-05-03,89,8,17,47,12,13
2020-05-04,91,10,18,48,13,12
2020-05-05,92,12,18,48,13,13
