fecha,infectados,recuperados,fallecidos,leve,moderado,grave
2020-04-19,0,0,0,0,0,0
2020-04-20,641,129,26,526,68,21
2020-04-21,662,130,27,541,73,21
2020-04-22,684,140,27,565,75,17
2020-04-23,703,151,29,604,46,24
2020-04-24,746,165,29,640,53,24
2020-04-25,780,179,29,667,60,24
2020-04-26,812,193,31,694,63,24
2020-04-27,841,210,31,722,63,25
2020-04-28,880,219,31,757,69,23
2020-04-29,917,241,32,785,77,23
2020-04-30,955,245,33,820,78,24
2020-05-01,1013,263,37,867,84,25
2020-05-03,1082,283,39,823,96,25
2020-05-04,1116,294,40,954,97,25
2020-05-05,1191,319,43,1018,106,24
