fecha,infectados,recuperados,fallecidos,leve,moderado,grave
2020-04-19,0,0,0,0,0,0
2020-04-20,254,30,9,212,27,6
2020-04-21,263,32,9,220,28,6
2020-04-22,277,35,9,234,32,2
2020-04-23,279,42,10,244,16,9
2020-04-24,309,47,10,268,22,9
2020-04-25,322,54,10,278,25,9
2020-04-26,334,61,10,289,26,9
2020-04-27,346,64,10,301,26,9
2020-04-28,356,66,10,310,27,9
2020-04-29,374,80,11,324,31,8
2020-04-30,385,80,11,334,32,8
2020-05-01,402,87,11,345,37,9
2020-05-03,422,97,13,329,40,9
2020-05-04,436,101,13,374,40,9
2020-05-05,463,114,14,398,43,8
