fecha,infectados,recuperados,fallecidos,leve,moderado,grave
2020-04-19,0,0,0,0,0,0
2020-04-20,120,19,1,116,3,0
2020-04-21,126,20,1,121,4,0
2020-04-22,131,21,2,125,4,0
2020-04-23,136,21,2,130,4,0
2020-04-24,148,22,2,139,7,0
2020-04-25,158,24,2,149,7,0
2020-04-26,163,27,2,154,7,0
2020-04-27,177,31,2,166,9,0
2020-04-28,191,33,2,179,10,0
2020-04-29,203,39,2,189,12,0
2020-04-30,217,39,2,203,12,0
2020-05-01,241,44,3,223,15,0
2020-05-03,277,57,3,211,21,2
2020-05-04,305,64,3,278,22,2
2020-05-05,335,66,3,305,25,2
