fecha,infectados,recuperados,fallecidos,leve,moderado,grave
2020-04-19,0,0,0,0,0,0
2020-04-20,737,179,4,702,26,5
2020-04-21,766,181,4,732,24,6
2020-04-22,823,201,4,791,23,5
2020-04-23,874,218,4,845,18,7
2020-04-24,952,233,4,918,22,8
2020-04-25,1006,243,4,969,24,9
2020-04-26,1065,257,4,1028,24,9
2020-04-27,1115,272,4,1077,25,9
2020-04-28,1223,285,5,1177,31,9
2020-04-29,1277,302,5,1231,31,9
2020-04-30,1338,311,7,1291,30,9
2020-05-01,1454,331,7,1406,31,9
2020-05-03,1619,365,9,1296,32,8
2020-05-04,1689,383,9,1636,35,8
2020-05-05,1855,430,9,1795,41,8
