fecha,infectados,recuperados,fallecidos,leve,moderado,grave
2020-04-19,0,0,0,0,0,0
2020-04-20,298,56,1,285,11,1
2020-04-21,310,58,1,297,11,1
2020-04-22,330,69,1,318,10,1
2020-04-23,347,73,1,341,3,2
2020-04-24,385,82,1,375,6,3
2020-04-25,408,85,1,395,8,4
2020-04-26,426,93,1,413,8,4
2020-04-27,449,95,1,435,9,4
2020-04-28,461,96,1,447,9,3
2020-04-29,486,107,1,472,9,3
2020-04-30,510,107,2,495,9,3
2020-05-01,527,113,2,512,9,3
2020-05-03,569,122,3,507,10,2
2020-05-04,596,127,3,579,11,2
2020-05-05,635,153,3,617,12,2
