fecha,infectados,recuperados,fallecidos,leve,moderado,grave
2020-04-19,0,0,0,0,0,0
2020-04-20,103,16,0,93,7,3
2020-04-21,109,17,0,99,7,3
2020-04-22,114,20,0,104,7,3
2020-04-23,124,23,0,112,10,2
2020-04-24,127,25,0,114,11,2
2020-04-25,133,27,0,120,11,2
2020-04-26,137,27,0,124,11,2
2020-04-27,137,28,0,124,11,2
2020-04-28,147,32,0,133,12,2
2020-04-29,149,35,0,135,12,2
2020-04-30,155,36,1,141,11,2
2020-05-01,167,40,1,153,11,2
2020-05-03,177,44,1,162,10,2
2020-05-04,187,50,1,172,12,2
2020-05-05,195,56,1,180,12,2
