fecha,infectados,recuperados,fallecidos,leve,moderado,grave
2020-04-19,0,0,0,0,0,0
2020-04-20,1681,267,73,1462,121,25
2020-04-21,1751,266,74,1524,128,25
2020-04-22,1835,294,77,1603,128,27
2020-04-23,1882,326,78,1689,78,37
2020-04-24,2064,370,81,1837,108,38
2020-04-25,2151,391,84,1911,117,39
2020-04-26,2244,422,87,1997,121,39
2020-04-27,2344,432,89,2089,128,38
2020-04-28,2407,445,90,2145,135,36
2020-04-29,2542,524,97,2252,156,36
2020-04-30,2632,528,100,2334,161,36
2020-05-01,2771,558,107,2437,187,39
2020-05-03,2957,616,114,2400,200,39
2020-05-04,3083,641,117,2721,205,39
2020-05-05,3271,758,121,2888,223,38
