fecha,infectados,recuperados,fallecidos,leve,moderado,grave
2020-04-19,0,0,0,0,0,0
2020-04-20,226,80,2,203,13,8
2020-04-21,229,75,2,206,13,8
2020-04-22,250,80,2,228,14,6
2020-04-23,267,79,2,252,5,8
2020-04-24,285,80,2,270,5,8
2020-04-25,287,81,2,272,5,8
2020-04-26,290,85,2,275,5,8
2020-04-27,299,92,3,284,5,7
2020-04-28,301,94,3,284,6,8
2020-04-29,305,95,3,288,6,8
2020-04-30,309,97,3,290,6,10
2020-05-01,310,107,3,291,6,10
2020-05-03,285,112,3,244,8,10
2020-05-04,288,113,3,267,10,8
2020-05-05,291,120,3,270,10,8
