fecha,infectados,recuperados,fallecidos,leve,moderado,grave
2020-04-19,0,0,0,0,0,0
2020-04-20,528,62,29,380,96,23
2020-04-21,551,63,32,398,98,23
2020-04-22,575,71,35,420,97,23
2020-04-23,609,74,37,477,60,35
2020-04-24,626,82,39,489,64,34
2020-04-25,640,97,40,503,64,33
2020-04-26,658,101,39,518,67,34
2020-04-27,664,108,39,524,67,34
2020-04-28,696,123,42,548,75,31
2020-04-29,713,138,42,561,78,32
2020-04-30,750,139,46,588,83,33
2020-05-01,798,161,48,632,85,33
2020-05-03,840,181,48,664,87,34
2020-05-04,867,194,50,694,90,33
2020-05-05,895,217,50,715,94,36
