fecha,infectados,recuperados,fallecidos,leve,moderado,grave
2020-04-19,0,0,0,0,0,0
2020-04-20,655,130,12,575,53,15
2020-04-21,683,132,12,595,61,15
2020-04-22,725,146,12,641,58,14
2020-04-23,762,152,14,696,37,15
2020-04-24,815,162,18,741,43,13
2020-04-25,861,175,19,783,46,13
2020-04-26,903,187,20,821,49,13
2020-04-27,934,205,20,850,50,14
2020-04-28,983,216,22,895,51,15
2020-04-29,1014,253,23,923,54,14
2020-04-30,1063,255,24,965,59,14
2020-05-01,1150,279,26,1037,71,15
2020-05-03,1243,304,27,978,76,14
2020-05-04,1297,314,29,1173,79,15
2020-05-05,1405,342,33,1267,89,15
