fecha,infectados,recuperados,fallecidos,leve,moderado,grave
2020-04-19,0,0,0,0,0,0
2020-04-20,274,50,4,249,18,3
2020-04-21,282,51,4,255,20,3
2020-04-22,299,55,4,274,19,2
2020-04-23,307,60,4,287,14,2
2020-04-24,333,65,5,309,17,2
2020-04-25,351,68,6,325,18,2
2020-04-26,371,75,6,345,18,2
2020-04-27,384,77,6,356,20,2
2020-04-28,395,79,6,367,20,2
2020-04-29,410,104,6,379,23,2
2020-04-30,427,105,6,395,24,2
2020-05-01,453,108,7,412,32,2
2020-05-03,485,115,7,409,34,2
2020-05-04,504,117,7,460,35,2
2020-05-05,543,133,7,496,38,2
