fecha,infectados,recuperados,fallecidos,leve,moderado,grave
2020-04-19,0,0,0,0,0,0
2020-04-20,97,9,1,73,19,4
2020-04-21,97,10,1,73,19,4
2020-04-22,102,12,1,78,19,4
2020-04-23,105,11,1,89,10,5
2020-04-24,111,13,2,94,11,4
2020-04-25,114,17,2,97,11,4
2020-04-26,117,18,2,99,12,4
2020-04-27,117,21,2,99,12,4
2020-04-28,120,24,3,102,13,2
2020-04-29,121,26,3,103,13,2
2020-04-30,129,26,4,106,17,2
2020-05-01,133,32,4,109,18,2
2020-05-03,138,36,4,111,18,3
2020-05-04,139,36,5,113,18,3
2020-05-05,146,40,5,117,20,4
